Date,Portfolio Value
2022-03-06,1081767.2975769043
2022-03-07,1081767.2975769043
2022-03-08,1084558.5088806152
2022-03-09,1089888.1541290283
2022-03-10,1071580.6541290283
2022-03-11,1072339.4737854004
2022-03-12,1077249.2797775269
2022-03-13,1077249.2797775269
2022-03-14,1077249.2797775269
2022-03-15,1064296.7101211548
2022-03-16,1061512.3604812622
2022-03-17,1055272.5585632324
2022-03-18,1069382.9816589355
2022-03-19,1069370.1440582275
2022-03-20,1069370.1440582275
2022-03-21,1069370.1440582275
2022-03-22,1080407.2908248901
2022-03-23,1079481.180152893
2022-03-24,1083751.9381332397
2022-03-25,1079414.0038604736
2022-03-26,1082069.8895568848
2022-03-27,1082069.8895568848
2022-03-28,1082069.8895568848
2022-03-29,1072552.986907959
2022-03-30,1066937.9154968262
2022-03-31,1073085.187637329
2022-04-01,1066296.7065963745
2022-04-02,1062842.0540008545
2022-04-03,1062842.0540008545
2022-04-04,1062842.0540008545
2022-04-05,1070303.7866134644
2022-04-06,1070239.4069747925
2022-04-07,1062849.1420974731
2022-04-08,1062796.7363204956
2022-04-09,1067375.4605636597
2022-04-10,1067375.4605636597
2022-04-11,1067375.4605636597
2022-04-12,1061777.189048767
2022-04-13,1071748.3459091187
2022-04-14,1077328.6477661133
2022-04-15,1081577.0941619873
2022-04-16,1081577.0941619873
2022-04-17,1081577.0941619873
2022-04-18,1081577.0941619873
2022-04-19,1086620.3966293335
2022-04-20,1078733.8448791504
2022-04-21,1080759.9778137207
2022-04-22,1079518.5589141846
2022-04-23,1076512.6974639893
2022-04-24,1076512.6974639893
2022-04-25,1076512.6974639893
2022-04-26,1073382.7989349365
2022-04-27,1077772.8339996338
2022-04-28,1080034.603630066
2022-04-29,1084148.1684265137
2022-04-30,1083700.670578003
2022-05-01,1083700.670578003
2022-05-02,1083700.670578003
2022-05-03,1083475.7555236816
2022-05-04,1078365.2419891357
2022-05-05,1084517.1846466064
2022-05-06,1085847.989906311
2022-05-07,1085807.443611145
2022-05-08,1085807.443611145
2022-05-09,1085807.443611145
2022-05-10,1077050.0432662964
2022-05-11,1073386.0301895142
2022-05-12,1083139.8264389038
2022-05-13,1085364.1442947388
2022-05-14,1087568.6250076294
2022-05-15,1087568.6250076294
2022-05-16,1087568.6250076294
2022-05-17,1094078.6639785767
2022-05-18,1090761.9689865112
2022-05-19,1084661.9232330322
2022-05-20,1087901.6463394165
2022-05-21,1088320.8110733032
2022-05-22,1088320.8110733032
2022-05-23,1088320.8110733032
2022-05-24,1086285.1883926392
2022-05-25,1083423.6835861206
2022-05-26,1084134.8094329834
2022-05-27,1087197.2832641602
2022-05-28,1090249.0069198608
2022-05-29,1090249.0069198608
2022-05-30,1090249.0069198608
2022-05-31,1090249.0069198608
2022-06-01,1086016.2052688599
2022-06-02,1083005.5895614624
2022-06-03,1084564.1202163696
2022-06-04,1086134.8702163696
2022-06-05,1086134.8702163696
2022-06-06,1086134.8702163696
2022-06-07,1088383.587348938
2022-06-08,1091759.6811904907
2022-06-09,1095808.4780044556
2022-06-10,1096578.9795684814
2022-06-11,1095753.4354782104
2022-06-12,1095753.4354782104
2022-06-13,1095753.4354782104
2022-06-14,1095379.0576934814
2022-06-15,1093147.0576934814
2022-06-16,1090277.5548095703
2022-06-17,1095019.953491211
2022-06-18,1085883.534790039
2022-06-19,1085883.534790039
2022-06-20,1085883.534790039
2022-06-21,1085883.534790039
2022-06-22,1083364.9192810059
2022-06-23,1079553.1403045654
2022-06-24,1073924.0135726929
2022-06-25,1078440.9707565308
2022-06-26,1078440.9707565308
2022-06-27,1078440.9707565308
2022-06-28,1079689.717262268
2022-06-29,1084671.9100112915
2022-06-30,1084228.3362884521
2022-07-01,1075453.7800750732
2022-07-02,1080330.0679473877
2022-07-03,1080330.0679473877
2022-07-04,1080330.0679473877
2022-07-05,1080330.0679473877
2022-07-06,1067152.2276000977
2022-07-07,1067325.2261047363
2022-07-08,1072968.881767273
2022-07-09,1080551.4588546753
2022-07-10,1080551.4588546753
2022-07-11,1080551.4588546753
2022-07-12,1080200.8534622192
2022-07-13,1062753.3534622192
2022-07-14,1064532.431968689
2022-07-15,1056495.6665725708
2022-07-16,1043076.5134963989
2022-07-17,1043076.5134963989
2022-07-18,1043076.5134963989
2022-07-19,1050769.7261047363
2022-07-20,1049627.1293182373
2022-07-21,1046466.6703720093
2022-07-22,1036241.3760910034
2022-07-23,1031856.0242156982
2022-07-24,1031856.0242156982
2022-07-25,1031856.0242156982
2022-07-26,1037622.0242156982
2022-07-27,1038981.3120727539
2022-07-28,1042474.810546875
2022-07-29,1044367.145690918
2022-07-30,1047331.0513534546
2022-07-31,1047331.0513534546
2022-08-01,1047331.0513534546
2022-08-02,1039799.0572814941
2022-08-03,1037398.2557373047
2022-08-04,1032729.4626312256
2022-08-05,1032110.5890579224
2022-08-06,1034296.6306838989
2022-08-07,1034296.6306838989
2022-08-08,1034296.6306838989
2022-08-09,1036282.8806838989
2022-08-10,1037301.8378982544
2022-08-11,1040277.7082977295
2022-08-12,1044921.8331680298
2022-08-13,1044060.0831680298
2022-08-14,1044060.0831680298
2022-08-15,1044060.0831680298
2022-08-16,1038171.4926528931
2022-08-17,1031372.9761734009
2022-08-18,1034292.9386672974
2022-08-19,1038409.9278488159
2022-08-20,1039957.643447876
2022-08-21,1039957.643447876
2022-08-22,1039957.643447876
2022-08-23,1040668.2922363281
2022-08-24,1050249.964996338
2022-08-25,1052762.716949463
2022-08-26,1048274.9234695435
2022-08-27,1051021.1846542358
2022-08-28,1051021.1846542358
2022-08-29,1051021.1846542358
2022-08-30,1058801.6905593872
2022-08-31,1051401.2971343994
2022-09-01,1047605.3119354248
2022-09-02,1040933.968673706
2022-09-03,1043225.9516067505
2022-09-04,1043225.9516067505
2022-09-05,1043225.9516067505
2022-09-06,1043225.9516067505
2022-09-07,1045331.1640701294
2022-09-08,1037838.6712036133
2022-09-09,1039760.1189956665
2022-09-10,1048605.6189956665
2022-09-11,1048605.6189956665
2022-09-12,1048605.6189956665
2022-09-13,1052323.0660476685
2022-09-14,1051133.1643753052
2022-09-15,1052741.9223480225
2022-09-16,1042824.9957122803
2022-09-17,1042795.2487030029
2022-09-18,1042795.2487030029
2022-09-19,1042795.2487030029
2022-09-20,1043838.2525482178
2022-09-21,1044464.013633728
2022-09-22,1041212.3913955688
2022-09-23,1042476.8348312378
2022-09-24,1033713.8348312378
2022-09-25,1033713.8348312378
2022-09-26,1033713.8348312378
2022-09-27,1028841.8366622925
2022-09-28,1031804.1180648804
2022-09-29,1037814.4203567505
2022-09-30,1036310.8629989624
2022-10-01,1035181.9349899292
2022-10-02,1035181.9349899292
2022-10-03,1035181.9349899292
2022-10-04,1041907.7540817261
2022-10-05,1046411.7232131958
2022-10-06,1048300.4108047485
2022-10-07,1047754.7537231445
2022-10-08,1054795.5770263672
2022-10-09,1054795.5770263672
2022-10-10,1054795.5770263672
2022-10-11,1055471.0642471313
2022-10-12,1052213.1258621216
2022-10-13,1049415.523399353
2022-10-14,1052765.4388504028
2022-10-15,1046664.4388504028
2022-10-16,1046664.4388504028
2022-10-17,1046664.4388504028
2022-10-18,1045373.63671875
2022-10-19,1041250.5575714111
2022-10-20,1044692.3423919678
2022-10-21,1046304.192817688
2022-10-22,1045054.9923934937
2022-10-23,1045054.9923934937
2022-10-24,1045054.9923934937
2022-10-25,1043916.6106796265
2022-10-26,1045791.2576675415
2022-10-27,1049199.7632217407
2022-10-28,1050313.2207260132
2022-10-29,1048461.2603149414
2022-10-30,1048461.2603149414
2022-10-31,1048461.2603149414
2022-11-01,1048485.9465713501
2022-11-02,1052113.7620620728
2022-11-03,1052567.5583267212
2022-11-04,1048687.1758804321
2022-11-05,1055029.1391983032
2022-11-06,1055029.1391983032
2022-11-07,1055029.1391983032
2022-11-08,1053033.069595337
2022-11-09,1047788.893196106
2022-11-10,1043106.2107315063
2022-11-11,1041980.7798843384
2022-11-12,1046274.006942749
2022-11-13,1046274.006942749
2022-11-14,1046274.006942749
2022-11-15,1041985.301864624
2022-11-16,1045160.0955200195
2022-11-17,1043064.1730041504
2022-11-18,1037968.5272521973
2022-11-19,1035746.1007995605
2022-11-20,1035746.1007995605
2022-11-21,1035746.1007995605
2022-11-22,1033768.5530548096
2022-11-23,1035083.1135635376
2022-11-24,1031855.5115890503
2022-11-25,1031855.5115890503
2022-11-26,1030184.6760482788
2022-11-27,1030184.6760482788
2022-11-28,1030184.6760482788
2022-11-29,1031797.9546356201
2022-11-30,1032734.9132385254
2022-12-01,1035617.3224487305
2022-12-02,1034465.5497589111
2022-12-03,1029946.3528671265
2022-12-04,1029946.3528671265
2022-12-05,1029946.3528671265
2022-12-06,1024303.5483779907
2022-12-07,1019622.7679138184
2022-12-08,1016526.711265564
2022-12-09,1016425.8063430786
2022-12-10,1016214.0523757935
2022-12-11,1016214.0523757935
2022-12-12,1016214.0523757935
2022-12-13,1020912.3048706055
2022-12-14,1024903.4868164062
2022-12-15,1026978.9058685303
2022-12-16,1027856.3486480713
2022-12-17,1024958.5891189575
2022-12-18,1024958.5891189575
2022-12-19,1024958.5891189575
2022-12-20,1025347.7415237427
2022-12-21,1027609.6820144653
2022-12-22,1032849.2890777588
2022-12-23,1031332.1844787598
2022-12-24,1035504.1540145874
2022-12-25,1035504.1540145874
2022-12-26,1035504.1540145874
2022-12-27,1035504.1540145874
2022-12-28,1036964.045829773
2022-12-29,1037514.7462844849
2022-12-30,1036111.9399490356
2022-12-31,1038746.5408706665
2023-01-01,1038746.5408706665
